date;indicator;value
2011-01;Southern region - Average - (GW);2.0
2011-01;Southern region - Maximum - (GW);2.5
2011-01;Western region - Average - (GW);5.2
2011-02;Central region - Average - (GW);5.4
2011-02;Central region - Maximum - (GW);3.9
2011-02;Central region - Minimum - (GW);7.3
2011-02;Southern region - Average - (GW);2.0
2011-03;Central region - Average - (GW);5.6
2011-03;Central region - Maximum - (GW);3.9
2011-03;Southern region - Maximum - (GW);2.6
2011-03;Western region - Minimum - (GW);3.9
2011-04;Central region - Minimum - (GW);9.6
2011-04;Eastern region - Minimum (GW);7.4
2011-04;Western region - Average - (GW);7.6
2011-05;Central region - Maximum - (GW);6.8
2011-05;Western region - Minimum - (GW);6.0
2011-06;Central region - Minimum - (GW);14.0
2011-06;Eastern region - Average (GW);12.0
2011-06;Southern region - Average - (GW);3.0
2011-07;Eastern region - Minimum (GW);10.4
2011-07;Southern region - Minimum - (GW);2.4
2011-07;Western region - Maximum - (GW);13.5
2011-08;Western region - Average - (GW);11.6
2011-09;Western region - Average - (GW);10.4
2011-10;Eastern region - Average (GW);10.1
2011-10;Western region - Maximum - (GW);11.9
2011-11;Central region - Minimum - (GW);8.4
2011-12;Southern region - Minimum - (GW);1.3
2012-01;Central region - Average - (GW);7.8
2012-01;Eastern region - Average (GW);6.2
2012-01;Southern region - Average - (GW);2.1
2012-02;Central region - Minimum - (GW);6.8
2012-03;Central region - Minimum - (GW);6.9
2012-03;Southern region - Minimum - (GW);1.7
2012-04;Eastern region - Average (GW);7.4
2012-04;Eastern region - Maximum (GW);11.5
2012-05;Central region - Average - (GW);11.2
2012-05;Eastern region - Minimum (GW);7.9
2012-05;Western region - Average - (GW);10.4
2012-05;Western region - Maximum - (GW);13.1
2012-06;Central region - Maximum - (GW);13.4
2012-06;Central region - Minimum - (GW);10.3
2012-06;Eastern region - Maximum (GW);14.6
2012-06;Western region - Average - (GW);11.3
2012-06;Western region - Maximum - (GW);13.4
2012-07;Southern region - Maximum - (GW);4.1
2012-07;Western region - Average - (GW);11.9
2012-07;Western region - Minimum - (GW);9.6
2012-08;Central region - Average - (GW);12.5
2012-08;Central region - Maximum - (GW);14.4
2012-08;Central region - Minimum - (GW);10.5
2012-08;Eastern region - Maximum (GW);15.6
2012-08;Southern region - Maximum - (GW);3.9
2012-08;Western region - Minimum - (GW);9.1
2012-09;Central region - Maximum - (GW);13.8
2012-09;Southern region - Average - (GW);3.3
2012-09;Southern region - Minimum - (GW);2.3
2012-10;Central region - Maximum - (GW);12.2
2012-10;Western region - Average - (GW);10.3
2012-10;Western region - Minimum - (GW);6.8
2012-11;Central region - Average - (GW);8.8
